DonorID,Amount,Quarter,Year,Method,Luncheon,Parent,Alumni,Board
3621,50,First,2017,check,No,Yes,No,No
2359,100,Fourth,2018,online,Yes,No,Yes,No
7813,100,Third,2015,card,No,No,No,Yes
1209,80,Fourth,2015,check,Yes,No,No,No
7143,250,Second,2016,online,No,No,No,Yes
3621,25,Third,2018,card,No,Yes,No,No
6092,10,First,2017,online,No,No,Yes,No
1423,50,Fourth,2018,card,No,No,Yes,No
3704,100,First,2016,check,No,No,No,No
7246,75,Second,2015,online,No,No,No,No
9155,40,Third,2018,card,No,Yes,No,No
7813,200,First,2018,card,No,No,No,Yes
3598,120,Fourth,2017,check,Yes,Yes,No,No
8095,40,First,2015,online,No,No,No,No
2359,50,First,2016,card,No,No,Yes,No
9864,25,Fourth,2017,check,No,Yes,No,No
4928,100,Third,2018,online,No,No,No,No
1148,150,Second,2015,card,No,No,No,Yes
6143,75,Fourth,2018,online,Yes,No,Yes,No
9864,100,Second,2015,check,No,Yes,No,No
